
###################################################################
###################################################################
###################################################################

Current time: 2023-11-02 11:34:58.043445

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.8, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [1/2000], First Loss: 393.7074, Second Loss: -77777.0000, Val Loss: 339.7920 [(kW/hour)^2], MinVal : 339.7919616699219
Epoch [48/2000], First Loss: 190.8708, Second Loss: -77777.0000, Val Loss: 182.7701 [(kW/hour)^2], MinVal : 182.7700653076172
Epoch [49/2000], First Loss: 190.2703, Second Loss: -77777.0000, Val Loss: 182.2114 [(kW/hour)^2], MinVal : 182.21142578125
Epoch [50/2000], First Loss: 189.6866, Second Loss: -77777.0000, Val Loss: 181.8244 [(kW/hour)^2], MinVal : 181.82437133789062
Epoch [51/2000], First Loss: 189.1191, Second Loss: -77777.0000, Val Loss: 181.6654 [(kW/hour)^2], MinVal : 181.66539001464844
Epoch [52/2000], First Loss: 188.7031, Second Loss: -77777.0000, Val Loss: 181.0788 [(kW/hour)^2], MinVal : 181.07882690429688
Epoch [53/2000], First Loss: 188.2967, Second Loss: -77777.0000, Val Loss: 180.7843 [(kW/hour)^2], MinVal : 180.7842559814453
Epoch [54/2000], First Loss: 187.6695, Second Loss: -77777.0000, Val Loss: 180.3073 [(kW/hour)^2], MinVal : 180.3072509765625
Epoch [55/2000], First Loss: 187.1895, Second Loss: -77777.0000, Val Loss: 179.8479 [(kW/hour)^2], MinVal : 179.8478546142578
Epoch [56/2000], First Loss: 186.5719, Second Loss: -77777.0000, Val Loss: 179.3454 [(kW/hour)^2], MinVal : 179.3454132080078
Epoch [57/2000], First Loss: 186.0282, Second Loss: -77777.0000, Val Loss: 179.0463 [(kW/hour)^2], MinVal : 179.04629516601562
Epoch [58/2000], First Loss: 185.4600, Second Loss: -77777.0000, Val Loss: 178.4765 [(kW/hour)^2], MinVal : 178.47647094726562
Epoch [59/2000], First Loss: 184.9518, Second Loss: -77777.0000, Val Loss: 177.6638 [(kW/hour)^2], MinVal : 177.66380310058594
Epoch [60/2000], First Loss: 184.9763, Second Loss: -77777.0000, Val Loss: 176.5426 [(kW/hour)^2], MinVal : 176.54261779785156
Epoch [61/2000], First Loss: 183.2346, Second Loss: -77777.0000, Val Loss: 175.3642 [(kW/hour)^2], MinVal : 175.36415100097656
Epoch [62/2000], First Loss: 182.3887, Second Loss: -77777.0000, Val Loss: 174.5674 [(kW/hour)^2], MinVal : 174.56739807128906
Epoch [63/2000], First Loss: 181.3548, Second Loss: -77777.0000, Val Loss: 173.8551 [(kW/hour)^2], MinVal : 173.8550567626953
Epoch [64/2000], First Loss: 180.8986, Second Loss: -77777.0000, Val Loss: 172.9524 [(kW/hour)^2], MinVal : 172.95242309570312
Epoch [65/2000], First Loss: 180.1793, Second Loss: -77777.0000, Val Loss: 171.7376 [(kW/hour)^2], MinVal : 171.73757934570312
Epoch [66/2000], First Loss: 179.4359, Second Loss: -77777.0000, Val Loss: 170.8957 [(kW/hour)^2], MinVal : 170.8957061767578
Epoch [67/2000], First Loss: 178.8407, Second Loss: -77777.0000, Val Loss: 170.0234 [(kW/hour)^2], MinVal : 170.0234375
Epoch [68/2000], First Loss: 178.3215, Second Loss: -77777.0000, Val Loss: 169.0758 [(kW/hour)^2], MinVal : 169.0758056640625
Epoch [69/2000], First Loss: 177.7878, Second Loss: -77777.0000, Val Loss: 167.8035 [(kW/hour)^2], MinVal : 167.80349731445312
Epoch [70/2000], First Loss: 176.7555, Second Loss: -77777.0000, Val Loss: 166.3559 [(kW/hour)^2], MinVal : 166.35592651367188
Epoch [71/2000], First Loss: 175.5217, Second Loss: -77777.0000, Val Loss: 164.8669 [(kW/hour)^2], MinVal : 164.8668975830078
Epoch [72/2000], First Loss: 173.8944, Second Loss: -77777.0000, Val Loss: 163.0607 [(kW/hour)^2], MinVal : 163.06065368652344
Epoch [73/2000], First Loss: 171.8879, Second Loss: -77777.0000, Val Loss: 161.5569 [(kW/hour)^2], MinVal : 161.55690002441406
Epoch [74/2000], First Loss: 170.0164, Second Loss: -77777.0000, Val Loss: 160.1498 [(kW/hour)^2], MinVal : 160.14981079101562
Epoch [75/2000], First Loss: 168.3160, Second Loss: -77777.0000, Val Loss: 157.8127 [(kW/hour)^2], MinVal : 157.8126983642578
Epoch [76/2000], First Loss: 166.1755, Second Loss: -77777.0000, Val Loss: 155.5886 [(kW/hour)^2], MinVal : 155.58859252929688
Epoch [77/2000], First Loss: 164.4430, Second Loss: -77777.0000, Val Loss: 154.0046 [(kW/hour)^2], MinVal : 154.00462341308594
Epoch [78/2000], First Loss: 163.3541, Second Loss: -77777.0000, Val Loss: 152.5318 [(kW/hour)^2], MinVal : 152.53179931640625
Epoch [79/2000], First Loss: 162.2242, Second Loss: -77777.0000, Val Loss: 150.9967 [(kW/hour)^2], MinVal : 150.99673461914062
Epoch [80/2000], First Loss: 160.1927, Second Loss: -77777.0000, Val Loss: 150.3377 [(kW/hour)^2], MinVal : 150.3376922607422
Epoch [81/2000], First Loss: 158.7200, Second Loss: -77777.0000, Val Loss: 150.4748 [(kW/hour)^2], MinVal : 150.3376922607422
Epoch [82/2000], First Loss: 158.1462, Second Loss: -77777.0000, Val Loss: 150.3560 [(kW/hour)^2], MinVal : 150.3376922607422
Epoch [83/2000], First Loss: 157.6302, Second Loss: -77777.0000, Val Loss: 149.6963 [(kW/hour)^2], MinVal : 149.69625854492188
Epoch [84/2000], First Loss: 156.8304, Second Loss: -77777.0000, Val Loss: 147.7260 [(kW/hour)^2], MinVal : 147.72596740722656
Epoch [85/2000], First Loss: 155.1817, Second Loss: -77777.0000, Val Loss: 145.2701 [(kW/hour)^2], MinVal : 145.27012634277344
Epoch [86/2000], First Loss: 153.5584, Second Loss: -77777.0000, Val Loss: 143.8189 [(kW/hour)^2], MinVal : 143.8188934326172
Epoch [87/2000], First Loss: 152.7194, Second Loss: -77777.0000, Val Loss: 143.2400 [(kW/hour)^2], MinVal : 143.239990234375
Epoch [88/2000], First Loss: 151.7353, Second Loss: -77777.0000, Val Loss: 143.2007 [(kW/hour)^2], MinVal : 143.20074462890625
Epoch [89/2000], First Loss: 150.4554, Second Loss: -77777.0000, Val Loss: 143.6339 [(kW/hour)^2], MinVal : 143.20074462890625
Epoch [90/2000], First Loss: 149.6284, Second Loss: -77777.0000, Val Loss: 143.7096 [(kW/hour)^2], MinVal : 143.20074462890625
Epoch [91/2000], First Loss: 148.9991, Second Loss: -77777.0000, Val Loss: 142.8607 [(kW/hour)^2], MinVal : 142.8606719970703
Epoch [92/2000], First Loss: 148.1028, Second Loss: -77777.0000, Val Loss: 141.2520 [(kW/hour)^2], MinVal : 141.25196838378906
Epoch [93/2000], First Loss: 147.0261, Second Loss: -77777.0000, Val Loss: 139.5113 [(kW/hour)^2], MinVal : 139.5112762451172
Epoch [94/2000], First Loss: 146.1628, Second Loss: -77777.0000, Val Loss: 138.3666 [(kW/hour)^2], MinVal : 138.3665771484375
Epoch [95/2000], First Loss: 145.5335, Second Loss: -77777.0000, Val Loss: 137.7206 [(kW/hour)^2], MinVal : 137.72064208984375
Epoch [96/2000], First Loss: 144.5477, Second Loss: -77777.0000, Val Loss: 137.6796 [(kW/hour)^2], MinVal : 137.6795654296875
Epoch [97/2000], First Loss: 143.4435, Second Loss: -77777.0000, Val Loss: 138.0410 [(kW/hour)^2], MinVal : 137.6795654296875
Epoch [98/2000], First Loss: 142.7526, Second Loss: -77777.0000, Val Loss: 137.7715 [(kW/hour)^2], MinVal : 137.6795654296875
Epoch [99/2000], First Loss: 142.0602, Second Loss: -77777.0000, Val Loss: 136.5831 [(kW/hour)^2], MinVal : 136.5831298828125
Epoch [100/2000], First Loss: 141.1749, Second Loss: -77777.0000, Val Loss: 134.9507 [(kW/hour)^2], MinVal : 134.9507293701172
Epoch [101/2000], First Loss: 140.3632, Second Loss: -77777.0000, Val Loss: 133.7630 [(kW/hour)^2], MinVal : 133.7630157470703
Epoch [102/2000], First Loss: 139.7682, Second Loss: -77777.0000, Val Loss: 133.2467 [(kW/hour)^2], MinVal : 133.24673461914062
Epoch [103/2000], First Loss: 138.8088, Second Loss: -77777.0000, Val Loss: 133.4760 [(kW/hour)^2], MinVal : 133.24673461914062
Epoch [104/2000], First Loss: 138.0307, Second Loss: -77777.0000, Val Loss: 133.1282 [(kW/hour)^2], MinVal : 133.128173828125
Epoch [105/2000], First Loss: 137.3093, Second Loss: -77777.0000, Val Loss: 131.5560 [(kW/hour)^2], MinVal : 131.55596923828125
Epoch [106/2000], First Loss: 136.2637, Second Loss: -77777.0000, Val Loss: 130.1137 [(kW/hour)^2], MinVal : 130.1136932373047
Epoch [107/2000], First Loss: 135.5436, Second Loss: -77777.0000, Val Loss: 129.6958 [(kW/hour)^2], MinVal : 129.69580078125
Epoch [108/2000], First Loss: 134.5765, Second Loss: -77777.0000, Val Loss: 130.0781 [(kW/hour)^2], MinVal : 129.69580078125
Epoch [109/2000], First Loss: 133.7312, Second Loss: -77777.0000, Val Loss: 128.9974 [(kW/hour)^2], MinVal : 128.99737548828125
Epoch [110/2000], First Loss: 132.7384, Second Loss: -77777.0000, Val Loss: 126.9698 [(kW/hour)^2], MinVal : 126.96978759765625
Epoch [111/2000], First Loss: 131.8051, Second Loss: -77777.0000, Val Loss: 126.3009 [(kW/hour)^2], MinVal : 126.30091094970703
Epoch [112/2000], First Loss: 130.5739, Second Loss: -77777.0000, Val Loss: 127.6066 [(kW/hour)^2], MinVal : 126.30091094970703
Epoch [113/2000], First Loss: 129.9417, Second Loss: -77777.0000, Val Loss: 123.4340 [(kW/hour)^2], MinVal : 123.43402862548828
Epoch [114/2000], First Loss: 129.5647, Second Loss: -77777.0000, Val Loss: 125.5874 [(kW/hour)^2], MinVal : 123.43402862548828
Epoch [115/2000], First Loss: 127.5738, Second Loss: -77777.0000, Val Loss: 123.3940 [(kW/hour)^2], MinVal : 123.39404296875
Epoch [116/2000], First Loss: 126.0973, Second Loss: -77777.0000, Val Loss: 120.5717 [(kW/hour)^2], MinVal : 120.57174682617188
Epoch [117/2000], First Loss: 125.2362, Second Loss: -77777.0000, Val Loss: 126.0928 [(kW/hour)^2], MinVal : 120.57174682617188
Epoch [118/2000], First Loss: 126.1387, Second Loss: -77777.0000, Val Loss: 119.5745 [(kW/hour)^2], MinVal : 119.57449340820312
Epoch [119/2000], First Loss: 127.3726, Second Loss: -77777.0000, Val Loss: 122.5086 [(kW/hour)^2], MinVal : 119.57449340820312
Epoch [120/2000], First Loss: 123.2267, Second Loss: -77777.0000, Val Loss: 123.6156 [(kW/hour)^2], MinVal : 119.57449340820312
Epoch [121/2000], First Loss: 123.5704, Second Loss: -77777.0000, Val Loss: 118.1608 [(kW/hour)^2], MinVal : 118.16082763671875
Epoch [122/2000], First Loss: 125.9266, Second Loss: -77777.0000, Val Loss: 118.0603 [(kW/hour)^2], MinVal : 118.06029510498047
Epoch [123/2000], First Loss: 123.0522, Second Loss: -77777.0000, Val Loss: 120.5451 [(kW/hour)^2], MinVal : 118.06029510498047
Epoch [124/2000], First Loss: 121.7310, Second Loss: -77777.0000, Val Loss: 119.5261 [(kW/hour)^2], MinVal : 118.06029510498047
Epoch [125/2000], First Loss: 121.3687, Second Loss: -77777.0000, Val Loss: 117.0576 [(kW/hour)^2], MinVal : 117.05757141113281
Epoch [126/2000], First Loss: 120.5177, Second Loss: -77777.0000, Val Loss: 116.0166 [(kW/hour)^2], MinVal : 116.01660919189453
Epoch [127/2000], First Loss: 119.3198, Second Loss: -77777.0000, Val Loss: 117.1774 [(kW/hour)^2], MinVal : 116.01660919189453
Epoch [128/2000], First Loss: 118.0513, Second Loss: -77777.0000, Val Loss: 117.2673 [(kW/hour)^2], MinVal : 116.01660919189453
Epoch [129/2000], First Loss: 117.8514, Second Loss: -77777.0000, Val Loss: 115.4036 [(kW/hour)^2], MinVal : 115.40361022949219
Epoch [130/2000], First Loss: 117.1054, Second Loss: -77777.0000, Val Loss: 113.6043 [(kW/hour)^2], MinVal : 113.6042709350586
Epoch [131/2000], First Loss: 115.3576, Second Loss: -77777.0000, Val Loss: 116.9549 [(kW/hour)^2], MinVal : 113.6042709350586
Epoch [132/2000], First Loss: 116.5969, Second Loss: -77777.0000, Val Loss: 110.2639 [(kW/hour)^2], MinVal : 110.26394653320312
Epoch [133/2000], First Loss: 113.9755, Second Loss: -77777.0000, Val Loss: 110.6505 [(kW/hour)^2], MinVal : 110.26394653320312
Epoch [134/2000], First Loss: 115.6951, Second Loss: -77777.0000, Val Loss: 113.7166 [(kW/hour)^2], MinVal : 110.26394653320312
Epoch [135/2000], First Loss: 113.9829, Second Loss: -77777.0000, Val Loss: 112.8648 [(kW/hour)^2], MinVal : 110.26394653320312
Epoch [136/2000], First Loss: 111.9707, Second Loss: -77777.0000, Val Loss: 109.5327 [(kW/hour)^2], MinVal : 109.53266906738281
Epoch [137/2000], First Loss: 110.7077, Second Loss: -77777.0000, Val Loss: 111.2397 [(kW/hour)^2], MinVal : 109.53266906738281
Epoch [138/2000], First Loss: 112.1329, Second Loss: -77777.0000, Val Loss: 108.0764 [(kW/hour)^2], MinVal : 108.07637786865234
Epoch [139/2000], First Loss: 109.8431, Second Loss: -77777.0000, Val Loss: 109.0851 [(kW/hour)^2], MinVal : 108.07637786865234
Epoch [140/2000], First Loss: 108.7891, Second Loss: -77777.0000, Val Loss: 110.6079 [(kW/hour)^2], MinVal : 108.07637786865234
Epoch [141/2000], First Loss: 108.4233, Second Loss: -77777.0000, Val Loss: 107.0753 [(kW/hour)^2], MinVal : 107.07532501220703
Epoch [142/2000], First Loss: 106.8321, Second Loss: -77777.0000, Val Loss: 106.2082 [(kW/hour)^2], MinVal : 106.20823669433594
Epoch [143/2000], First Loss: 106.4223, Second Loss: -77777.0000, Val Loss: 110.7793 [(kW/hour)^2], MinVal : 106.20823669433594
Epoch [144/2000], First Loss: 106.9719, Second Loss: -77777.0000, Val Loss: 105.6661 [(kW/hour)^2], MinVal : 105.66606903076172
Epoch [145/2000], First Loss: 103.9856, Second Loss: -77777.0000, Val Loss: 106.1645 [(kW/hour)^2], MinVal : 105.66606903076172
Epoch [146/2000], First Loss: 103.5393, Second Loss: -77777.0000, Val Loss: 106.1595 [(kW/hour)^2], MinVal : 105.66606903076172
Epoch [147/2000], First Loss: 102.1108, Second Loss: -77777.0000, Val Loss: 102.0093 [(kW/hour)^2], MinVal : 102.00934600830078
Epoch [148/2000], First Loss: 102.8066, Second Loss: -77777.0000, Val Loss: 105.2516 [(kW/hour)^2], MinVal : 102.00934600830078
Epoch [149/2000], First Loss: 100.5443, Second Loss: -77777.0000, Val Loss: 100.7930 [(kW/hour)^2], MinVal : 100.79302978515625
Epoch [150/2000], First Loss: 99.1096, Second Loss: -77777.0000, Val Loss: 99.4986 [(kW/hour)^2], MinVal : 99.49864959716797
Epoch [151/2000], First Loss: 98.6891, Second Loss: -77777.0000, Val Loss: 105.7038 [(kW/hour)^2], MinVal : 99.49864959716797
Epoch [152/2000], First Loss: 98.3326, Second Loss: -77777.0000, Val Loss: 101.9134 [(kW/hour)^2], MinVal : 99.49864959716797
Epoch [153/2000], First Loss: 104.7377, Second Loss: -77777.0000, Val Loss: 106.7399 [(kW/hour)^2], MinVal : 99.49864959716797
Epoch [154/2000], First Loss: 99.5089, Second Loss: -77777.0000, Val Loss: 102.4657 [(kW/hour)^2], MinVal : 99.49864959716797
Epoch [155/2000], First Loss: 96.4755, Second Loss: -77777.0000, Val Loss: 98.3959 [(kW/hour)^2], MinVal : 98.39590454101562
Epoch [156/2000], First Loss: 96.2583, Second Loss: -77777.0000, Val Loss: 99.3375 [(kW/hour)^2], MinVal : 98.39590454101562
Epoch [157/2000], First Loss: 95.7652, Second Loss: -77777.0000, Val Loss: 102.2574 [(kW/hour)^2], MinVal : 98.39590454101562
Epoch [158/2000], First Loss: 96.2963, Second Loss: -77777.0000, Val Loss: 98.0768 [(kW/hour)^2], MinVal : 98.0768051147461
Epoch [159/2000], First Loss: 98.2260, Second Loss: -77777.0000, Val Loss: 100.6685 [(kW/hour)^2], MinVal : 98.0768051147461
Epoch [160/2000], First Loss: 91.8540, Second Loss: -77777.0000, Val Loss: 100.6930 [(kW/hour)^2], MinVal : 98.0768051147461
Epoch [161/2000], First Loss: 91.3180, Second Loss: -77777.0000, Val Loss: 94.9237 [(kW/hour)^2], MinVal : 94.9237289428711
Epoch [162/2000], First Loss: 91.3502, Second Loss: -77777.0000, Val Loss: 96.0408 [(kW/hour)^2], MinVal : 94.9237289428711
Epoch [163/2000], First Loss: 88.3144, Second Loss: -77777.0000, Val Loss: 97.1063 [(kW/hour)^2], MinVal : 94.9237289428711
Epoch [164/2000], First Loss: 88.4252, Second Loss: -77777.0000, Val Loss: 93.1120 [(kW/hour)^2], MinVal : 93.11203002929688
Epoch [165/2000], First Loss: 88.6523, Second Loss: -77777.0000, Val Loss: 95.1251 [(kW/hour)^2], MinVal : 93.11203002929688
Epoch [166/2000], First Loss: 86.0367, Second Loss: -77777.0000, Val Loss: 95.1400 [(kW/hour)^2], MinVal : 93.11203002929688
Epoch [167/2000], First Loss: 86.1082, Second Loss: -77777.0000, Val Loss: 91.4304 [(kW/hour)^2], MinVal : 91.4304428100586
Epoch [168/2000], First Loss: 85.6865, Second Loss: -77777.0000, Val Loss: 93.5294 [(kW/hour)^2], MinVal : 91.4304428100586
Epoch [169/2000], First Loss: 83.9144, Second Loss: -77777.0000, Val Loss: 92.5779 [(kW/hour)^2], MinVal : 91.4304428100586
Epoch [170/2000], First Loss: 82.8145, Second Loss: -77777.0000, Val Loss: 89.9106 [(kW/hour)^2], MinVal : 89.91056823730469
Epoch [171/2000], First Loss: 84.7878, Second Loss: -77777.0000, Val Loss: 104.5717 [(kW/hour)^2], MinVal : 89.91056823730469
Epoch [172/2000], First Loss: 91.9572, Second Loss: -77777.0000, Val Loss: 92.1067 [(kW/hour)^2], MinVal : 89.91056823730469
Epoch [173/2000], First Loss: 89.4872, Second Loss: -77777.0000, Val Loss: 92.0265 [(kW/hour)^2], MinVal : 89.91056823730469
Epoch [174/2000], First Loss: 83.5970, Second Loss: -77777.0000, Val Loss: 98.5510 [(kW/hour)^2], MinVal : 89.91056823730469
Epoch [175/2000], First Loss: 86.1479, Second Loss: -77777.0000, Val Loss: 94.2138 [(kW/hour)^2], MinVal : 89.91056823730469
Epoch [176/2000], First Loss: 83.3317, Second Loss: -77777.0000, Val Loss: 89.0793 [(kW/hour)^2], MinVal : 89.07929229736328
Epoch [177/2000], First Loss: 82.1789, Second Loss: -77777.0000, Val Loss: 91.2965 [(kW/hour)^2], MinVal : 89.07929229736328
Epoch [178/2000], First Loss: 81.2184, Second Loss: -77777.0000, Val Loss: 97.2328 [(kW/hour)^2], MinVal : 89.07929229736328
Epoch [179/2000], First Loss: 82.0274, Second Loss: -77777.0000, Val Loss: 88.6315 [(kW/hour)^2], MinVal : 88.63148498535156
Epoch [180/2000], First Loss: 84.3479, Second Loss: -77777.0000, Val Loss: 89.8643 [(kW/hour)^2], MinVal : 88.63148498535156
Epoch [181/2000], First Loss: 80.9305, Second Loss: -77777.0000, Val Loss: 92.7182 [(kW/hour)^2], MinVal : 88.63148498535156
Epoch [182/2000], First Loss: 80.3550, Second Loss: -77777.0000, Val Loss: 89.6447 [(kW/hour)^2], MinVal : 88.63148498535156
Epoch [183/2000], First Loss: 78.8926, Second Loss: -77777.0000, Val Loss: 87.5832 [(kW/hour)^2], MinVal : 87.58323669433594
