
###################################################################
###################################################################
###################################################################

Current time: 2023-10-10 02:30:04.344665

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'dropout': 0, 'previous_steps': 5}

learning: {'nBatch': 14, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [94/2000], First Loss: 383.6062, Second Loss: 424.3426, Val Loss: 360.2029 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [95/2000], First Loss: 382.7942, Second Loss: 424.3386, Val Loss: 360.2291 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [96/2000], First Loss: 381.6623, Second Loss: 424.3355, Val Loss: 360.2553 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [97/2000], First Loss: 379.0606, Second Loss: 424.3327, Val Loss: 360.2812 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [98/2000], First Loss: 377.0365, Second Loss: 424.3303, Val Loss: 360.3067 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [99/2000], First Loss: 375.8166, Second Loss: 424.3284, Val Loss: 360.3290 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [100/2000], First Loss: 374.5383, Second Loss: 424.3269, Val Loss: 360.3500 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [101/2000], First Loss: 372.6062, Second Loss: 424.3252, Val Loss: 360.3669 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [102/2000], First Loss: 371.5698, Second Loss: 424.3238, Val Loss: 360.3868 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [103/2000], First Loss: 370.9854, Second Loss: 424.3225, Val Loss: 360.4037 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [104/2000], First Loss: 369.2846, Second Loss: 424.3210, Val Loss: 360.4186 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [105/2000], First Loss: 366.6336, Second Loss: 424.3194, Val Loss: 360.4320 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [106/2000], First Loss: 367.0736, Second Loss: 424.3185, Val Loss: 360.4425 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [107/2000], First Loss: 368.8851, Second Loss: 424.3179, Val Loss: 360.4529 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [108/2000], First Loss: 366.0246, Second Loss: 424.3170, Val Loss: 360.4641 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [109/2000], First Loss: 363.5629, Second Loss: 424.3164, Val Loss: 360.4756 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [110/2000], First Loss: 362.7632, Second Loss: 424.3161, Val Loss: 360.4869 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [111/2000], First Loss: 363.8092, Second Loss: 424.3169, Val Loss: 360.4956 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [112/2000], First Loss: 366.9106, Second Loss: 424.3180, Val Loss: 360.5057 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [113/2000], First Loss: 371.2971, Second Loss: 424.3194, Val Loss: 360.5164 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [114/2000], First Loss: 374.3444, Second Loss: 424.3206, Val Loss: 360.5283 [(kW/hour)^2], MinVal : 359.1307678222656
